"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Apogee (km),Date of Launch
Starlink-1481,Starlink-1481,USA,Commercial,Communications,551,2020-06-13
Starlink-1482 ,Starlink-1482 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1483 ,Starlink-1483 ,USA,Commercial,Communications,551,2020-06-13
Starlink-1484,Starlink-1484,USA,Commercial,Communications,382,2020-06-13
Starlink-1485 ,Starlink-1485 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1486,Starlink-1486,USA,Commercial,Communications,386,2020-06-13
Starlink-1487 ,Starlink-1487 ,USA,Commercial,Communications,385,2020-06-13
Starlink-1488 ,Starlink-1488 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1489 ,Starlink-1489 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1490 ,Starlink-1490 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1491,Starlink-1491,USA,Commercial,Communications,381,2020-06-13
Starlink-1492 ,Starlink-1492 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1493 ,Starlink-1493 ,USA,Commercial,Communications,391,2020-06-13
Starlink-1494,Starlink-1494,USA,Commercial,Communications,381,2020-06-13
Starlink-1495 ,Starlink-1495 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1496,Starlink-1496,USA,Commercial,Communications,381,2020-06-13
Starlink-1497 ,Starlink-1497 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1498,Starlink-1498,USA,Commercial,Communications,381,2020-06-13
Starlink-1499,Starlink-1499,USA,Commercial,Communications,381,2020-06-13
Starlink-1500,Starlink-1500,USA,Commercial,Communications,550,2020-06-13
Starlink-1501,Starlink-1501,USA,Commercial,Communications,381,2020-06-13
Starlink-1502,Starlink-1502,USA,Commercial,Communications,381,2020-06-13
Starlink-1503 ,Starlink-1503 ,USA,Commercial,Communications,551,2020-06-13
Starlink-1504,Starlink-1504,USA,Commercial,Communications,551,2020-06-13
Starlink-1505 ,Starlink-1505 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1506 ,Starlink-1506 ,USA,Commercial,Communications,551,2020-06-13
Starlink-1507 ,Starlink-1507 ,USA,Commercial,Communications,550,2020-06-13
Starlink-1509 ,Starlink-1509 ,USA,Commercial,Communications,386,2020-06-13
Starlink-1510 ,Starlink-1510 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1511 ,Starlink-1511 ,USA,Commercial,Communications,385,2020-06-13
Starlink-1512,Starlink-1512,USA,Commercial,Communications,381,2020-06-13
Starlink-1513 ,Starlink-1513 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1514 ,Starlink-1514 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1515 ,Starlink-1515 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1517 ,Starlink-1517 ,USA,Commercial,Communications,381,2020-06-13
Starlink-1521 ,Starlink-1521 ,USA,Commercial,Communications,380,2020-06-13
Starlink-1522 ,Starlink-1522 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1523 ,Starlink-1523 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1524 ,Starlink-1524 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1525 ,Starlink-1525 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1526 ,Starlink-1526 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1527 ,Starlink-1527 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1528 ,Starlink-1528 ,USA,Commercial,Communications,561,2021-02-15
Starlink-1529 ,Starlink-1529 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1530 ,Starlink-1530 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1531 ,Starlink-1531 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1532 ,Starlink-1532 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1533 ,Starlink-1533 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1534 ,Starlink-1534 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1535 ,Starlink-1535 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1536,Starlink-1536,USA,Commercial,Communications,551,2020-08-07
Starlink-1538 ,Starlink-1538 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1539 ,Starlink-1539 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1540 ,Starlink-1540 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1541 ,Starlink-1541 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1542 ,Starlink-1542 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1543 ,Starlink-1543 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1544 ,Starlink-1544 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1545 ,Starlink-1545 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1546,Starlink-1546,USA,Commercial,Communications,551,2020-09-03
Starlink-1547,Starlink-1547,USA,Commercial,Communications,551,2020-09-03
Starlink-1548 ,Starlink-1548 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1549 ,Starlink-1549 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1550,Starlink-1550,USA,Commercial,Communications,551,2020-09-03
Starlink-1551 ,Starlink-1551 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1552 ,Starlink-1552 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1553,Starlink-1553,USA,Commercial,Communications,551,2020-09-03
Starlink-1554 ,Starlink-1554 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1555 ,Starlink-1555 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1556 ,Starlink-1556 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1557 ,Starlink-1557 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1558 ,Starlink-1558 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1559 ,Starlink-1559 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1560 ,Starlink-1560 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1561 ,Starlink-1561 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1562 ,Starlink-1562 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1563 ,Starlink-1563 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1564 ,Starlink-1564 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1565 ,Starlink-1565 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1566 ,Starlink-1566 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1567 ,Starlink-1567 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1568 ,Starlink-1568 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1569 ,Starlink-1569 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1570 ,Starlink-1570 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1571 ,Starlink-1571 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1572 ,Starlink-1572 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1573 ,Starlink-1573 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1574 ,Starlink-1574 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1575,Starlink-1575,USA,Commercial,Communications,551,2020-09-03
Starlink-1576 ,Starlink-1576 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1577 ,Starlink-1577 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1578 ,Starlink-1578 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1579 ,Starlink-1579 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1580 ,Starlink-1580 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1581 ,Starlink-1581 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1582 ,Starlink-1582 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1583 ,Starlink-1583 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1584 ,Starlink-1584 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1585 ,Starlink-1585 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1586 ,Starlink-1586 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1587 ,Starlink-1587 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1588 ,Starlink-1588 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1589 ,Starlink-1589 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1590 ,Starlink-1590 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1591 ,Starlink-1591 ,USA,Commercial,Communications,551,2020-08-07
Starlink-1593 ,Starlink-1593 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1594 ,Starlink-1594 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1595 ,Starlink-1595 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1596 ,Starlink-1596 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1597 ,Starlink-1597 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1598 ,Starlink-1598 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1599 ,Starlink-1599 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1600 ,Starlink-1600 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1601 ,Starlink-1601 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1602 ,Starlink-1602 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1603 ,Starlink-1603 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1604 ,Starlink-1604 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1605 ,Starlink-1605 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1606 ,Starlink-1606 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1607 ,Starlink-1607 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1608 ,Starlink-1608 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1609 ,Starlink-1609 ,USA,Commercial,Communications,551,2021-02-15
Starlink-1610 ,Starlink-1610 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1611 ,Starlink-1611 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1612 ,Starlink-1612 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1613 ,Starlink-1613 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1614 ,Starlink-1614 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1615 ,Starlink-1615 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1616 ,Starlink-1616 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1617 ,Starlink-1617 ,USA,Commercial,Communications,551,2020-09-03
Starlink-1618 ,Starlink-1618 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1619 ,Starlink-1619 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1620 ,Starlink-1620 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1621 ,Starlink-1621 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1622 ,Starlink-1622 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1623 ,Starlink-1623 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1624 ,Starlink-1624 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1625 ,Starlink-1625 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1626 ,Starlink-1626 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1627 ,Starlink-1627 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1628 ,Starlink-1628 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1629 ,Starlink-1629 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1630 ,Starlink-1630 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1631 ,Starlink-1631 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1633 ,Starlink-1633 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1634 ,Starlink-1634 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1635 ,Starlink-1635 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1636 ,Starlink-1636 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1637 ,Starlink-1637 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1638 ,Starlink-1638 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1639 ,Starlink-1639 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1640 ,Starlink-1640 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1641 ,Starlink-1641 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1642 ,Starlink-1642 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1643 ,Starlink-1643 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1644 ,Starlink-1644 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1645 ,Starlink-1645 ,USA,Commercial,Communications,561,2021-02-15
Starlink-1646,Starlink-1646,USA,Commercial,Communications,551,2020-09-03
Starlink-1647 ,Starlink-1647 ,USA,Commercial,Communications,561,2021-03-24
Starlink-1648 ,Starlink-1648 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1649 ,Starlink-1649 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1650 ,Starlink-1650 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1651,Starlink-1651,USA,Commercial,Communications,551,2020-09-03
Starlink-1653,Starlink-1653,USA,Commercial,Communications,551,2020-09-03
Starlink-1654 ,Starlink-1654 ,USA,Commercial,Communications,551,2020-09-03
Starlink-1655 ,Starlink-1655 ,USA,Commercial,Communications,561,2021-02-15
Starlink-1656,Starlink-1656,USA,Commercial,Communications,551,2020-09-03
Starlink-1657,Starlink-1657,USA,Commercial,Communications,551,2020-09-03
Starlink-1658,Starlink-1658,USA,Commercial,Communications,551,2020-09-03
Starlink-1659 ,Starlink-1659 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1660 ,Starlink-1660 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1661,Starlink-1661,USA,Commercial,Communications,551,2020-09-03
Starlink-1663 ,Starlink-1663 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1664 ,Starlink-1664 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1665,Starlink-1665,USA,Commercial,Communications,551,2020-09-03
Starlink-1666,Starlink-1666,USA,Commercial,Communications,551,2020-09-03
Starlink-1667 ,Starlink-1667 ,USA,Commercial,Communications,551,2020-08-18
Starlink-1668 ,Starlink-1668 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1669 ,Starlink-1669 ,USA,Commercial,Communications,561,2021-02-15
Starlink-1670,Starlink-1670,USA,Commercial,Communications,551,2020-09-03
Starlink-1671 ,Starlink-1671 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1672 ,Starlink-1672 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1673,Starlink-1673,USA,Commercial,Communications,551,2020-09-03
Starlink-1675 ,Starlink-1675 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1676 ,Starlink-1676 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1677 ,Starlink-1677 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1678 ,Starlink-1678 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1679 ,Starlink-1679 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1680 ,Starlink-1680 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1681 ,Starlink-1681 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1682 ,Starlink-1682 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1683 ,Starlink-1683 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1684 ,Starlink-1684 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1686,Starlink-1686,USA,Commercial,Communications,551,2020-09-03
Starlink-1687 ,Starlink-1687 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1688,Starlink-1688,USA,Commercial,Communications,551,2020-09-03
Starlink-1689,Starlink-1689,USA,Commercial,Communications,551,2020-09-03
Starlink-1690,Starlink-1690,USA,Commercial,Communications,551,2020-09-03
Starlink-1692 ,Starlink-1692 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1693 ,Starlink-1693 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1694 ,Starlink-1694 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1695,Starlink-1695,USA,Commercial,Communications,551,2020-09-03
Starlink-1696 ,Starlink-1696 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1697 ,Starlink-1697 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1698 ,Starlink-1698 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1699 ,Starlink-1699 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1700 ,Starlink-1700 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1701 ,Starlink-1701 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1704 ,Starlink-1704 ,USA,Commercial,Communications,561,2021-02-15
Starlink-1705 ,Starlink-1705 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1706 ,Starlink-1706 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1707,Starlink-1707,USA,Commercial,Communications,551,2020-09-03
Starlink-1708 ,Starlink-1708 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1709 ,Starlink-1709 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1710,Starlink-1710,USA,Commercial,Communications,551,2020-09-03
Starlink-1711,Starlink-1711,USA,Commercial,Communications,551,2020-09-03
Starlink-1712 ,Starlink-1712 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1713,Starlink-1713,USA,Commercial,Communications,551,2020-09-03
Starlink-1714 ,Starlink-1714 ,USA,Commercial,Communications,561,2020-10-06
Starlink-1715 ,Starlink-1715 ,USA,Commercial,Communications,561,2020-10-18
Starlink-1716 ,Starlink-1716 ,USA,Commercial,Communications,561,2020-10-18
Starlink-1717 ,Starlink-1717 ,USA,Commercial,Communications,561,2020-10-18
Starlink-1718 ,Starlink-1718 ,USA,Commercial,Communications,561,2020-10-18
Starlink-1719 ,Starlink-1719 ,USA,Commercial,Communications,551,2020-09-03
Starlink-1720 ,Starlink-1720 ,USA,Commercial,Communications,561,2020-10-18
Starlink-1721,Starlink-1721,USA,Commercial,Communications,551,2020-09-03
Starlink-1722,Starlink-1722,USA,Commercial,Communications,551,2020-09-03
Starlink-1723,Starlink-1723,USA,Commercial,Communications,551,2020-09-03
Starlink-1724,Starlink-1724,USA,Commercial,Communications,551,2020-09-03
Starlink-1725,Starlink-1725,USA,Commercial,Communications,551,2020-09-03
